1990,17-65,NJN
1991,63-19,POR
1991,61-21,CHI
1991,58-24,LAL
1991,56-26,BOS
1991,55-27,PHO
1991,55-27,SAS
1991,54-28,UTA
1991,52-30,HOU
1991,50-32,DET
1991,48-34,MIL
1991,44-38,GSW
1991,44-38,PHI
1991,43-39,ATL
1991,41-41,IND
1991,41-41,SEA
1991,39-43,NYK
1991,33-49,CLE
1991,31-51,LAC
1991,31-51,ORL
1991,30-52,WSB
1991,29-53,MIN
1991,28-54,DAL
1991,26-56,CHH
1991,26-56,NJN
1991,25-57,SAC
1991,24-58,MIA
1991,20-62,DEN
1992,67-15,CHI
1992,57-25,CLE
1992,57-25,POR
1992,55-27,GSW
1992,55-27,UTA
1992,53-29,PHO
1992,51-31,BOS
1992,51-31,NYK
1992,48-34,DET
1992,47-35,SAS
1992,47-35,SEA
1992,45-37,LAC
1992,43-39,LAL
1992,42-40,HOU
1992,40-42,IND
1992,40-42,NJN
1992,38-44,MIA
1992,38-44,ATL
1992,35-47,PHI
1992,31-51,CHH
1992,31-51,MIL
1992,29-53,SAC
1992,25-57,WSB
1992,24-58,DEN
1992,22-60,DAL
1992,21-61,ORL
1992,15-67,MIN
1993,62-20,PHO
1993,60-22,NYK
1993,57-25,CHI
1993,55-27,HOU
1993,55-27,SEA
1993,54-28,CLE
1993,51-31,POR
1993,49-33,SAS
1993,48-34,BOS
1993,47-35,UTA
1993,44-38,CHH
1993,43-39,ATL
1993,43-39,NJN
1993,41-41,IND
1993,41-41,LAC
1993,41-41,ORL
1993,40-42,DET
1993,39-43,LAL
1993,36-46,DEN
1993,36-46,MIA
1993,34-48,GSW
1993,28-54,MIL
1993,26-56,PHI
1993,25-57,SAC
1993,22-60,WSB
1993,19-63,MIN
1993,11-71,DAL
1994,63-19,SEA
1994,58-24,HOU
1994,57-25,ATL
1994,57-25,NYK
1994,56-26,PHO
1994,55-27,CHI
1994,55-27,SAS
1994,53-29,UTA
1994,50-32,GSW
1994,50-32,ORL
1994,47-35,CLE
1994,47-35,IND
1994,47-35,POR
1994,45-37,NJN
1994,42-40,DEN
1994,42-40,MIA
1994,41-41,CHH
1994,33-49,LAL
1994,32-50,BOS
1994,28-54,SAC
1994,27-55,LAC
1994,25-57,PHI
1994,24-58,WSB
1994,20-62,DET
1994,20-62,MIL
1994,20-62,MIN
1994,13-69,DAL
1995,62-20,SAS
1995,60-22,UTA
1995,59-23,PHO
1995,57-25,ORL
1995,57-25,SEA
1995,55-27,NYK
1995,52-30,IND
1995,50-32,CHH
1995,48-34,LAL
1995,47-35,CHI
1995,47-35,HOU
1995,44-38,POR
1995,43-39,CLE
1995,42-40,ATL
1995,41-41,DEN
1995,39-43,SAC
1995,36-46,DAL
1995,35-47,BOS
1995,34-48,MIL
1995,32-50,MIA
1995,30-52,NJN
1995,28-54,DET
1995,26-56,GSW
1995,24-58,PHI
1995,21-61,MIN
1995,21-61,WSB
1995,17-65,LAC
1996,72-10,CHI
1996,64-18,SEA
1996,60-22,ORL
1996,59-23,SAS
1996,55-27,UTA
1996,53-29,LAL
1996,52-30,IND
1996,48-34,HOU
1996,47-35,CLE
1996,47-35,NYK
1996,46-36,ATL
1996,46-36,DET
1996,44-38,POR
1996,42-40,MIA
1996,41-41,PHO
1996,41-41,CHH
1996,39-43,SAC
1996,39-43,WSB
1996,36-46,GSW
1996,35-47,DEN
1996,33-49,BOS
1996,30-52,NJN
1996,29-53,LAC
1996,26-56,DAL
1996,26-56,MIN
1996,25-57,MIL
1996,21-61,TOR
1996,18-64,PHI
1996,15-67,VAN
1997,69-13,CHI
1997,64-18,UTA
1997,61-21,MIA
1997,57-25,HOU
1997,57-25,NYK
1997,57-25,SEA
1997,56-26,ATL
1997,56-26,LAL
1997,54-28,CHH
1997,54-28,DET
1997,49-33,POR
1997,45-37,ORL
1997,44-38,WSB
1997,42-40,CLE
1997,40-42,MIN
1997,40-42,PHO
1997,39-43,IND
1997,36-46,LAC
1997,34-48,SAC
1997,33-49,MIL
1997,30-52,GSW
1997,30-52,TOR
1997,26-56,NJN
1997,24-58,DAL
1997,22-60,PHI
1997,21-61,DEN
1997,20-62,SAS
1997,15-67,BOS
1997,14-68,VAN
1998,62-20,CHI
1998,62-20,UTA
1998,61-21,LAL
1998,61-21,SEA
1998,58-24,IND
1998,56-26,PHO
1998,56-26,SAS
1998,55-27,MIA
1998,51-31,CHH
1998,50-32,ATL
1998,47-35,CLE
1998,46-36,POR
1998,45-37,MIN
1998,43-39,NJN
1998,43-39,NYK
1998,42-40,WAS
1998,41-41,HOU
1998,41-41,ORL
1998,37-45,DET
1998,36-46,BOS
1998,36-46,MIL
1998,31-51,PHI
1998,27-55,SAC
1998,20-62,DAL
1998,19-63,GSW
1998,19-63,VAN
1998,17-65,LAC
1998,16-66,TOR
1998,11-71,DEN
1999,37-13,SAS
1999,37-13,UTA
1999,35-15,POR
1999,33-17,IND
1999,33-17,MIA
1999,33-17,ORL
1999,31-19,ATL
1999,31-19,HOU
1999,31-19,LAL
1999,29-21,DET
1999,28-22,MIL
1999,28-22,PHI
1999,27-23,NYK
1999,27-23,PHO
1999,27-23,SAC
1999,26-24,CHH
1999,25-25,MIN
1999,25-25,SEA
1999,23-27,TOR
1999,22-28,CLE
1999,21-29,GSW
1999,19-31,BOS
1999,19-31,DAL
1999,18-32,WAS
1999,16-34,NJN
1999,14-36,DEN
1999,13-37,CHI
1999,9-41,LAC
1999,8-42,VAN
2000,67-15,LAL
2000,59-23,POR
2000,56-26,IND
2000,55-27,UTA
2000,53-29,PHO
2000,53-29,SAS
2000,52-30,MIA
2000,50-32,MIN
2000,50-32,NYK
2000,49-33,CHH
2000,49-33,PHI
2000,45-37,SEA
2000,45-37,TOR
2000,44-38,SAC
2000,42-40,DET
2000,42-40,MIL
2000,41-41,ORL
2000,40-42,DAL
2000,35-47,BOS
2000,35-47,DEN
2000,34-48,HOU
2000,32-50,CLE
2000,31-51,NJN
2000,29-53,WAS
2000,28-54,ATL
2000,22-60,VAN
2000,19-63,GSW
2000,17-65,CHI
2000,15-67,LAC
2001,58-24,SAS
2001,56-26,LAL
2001,56-26,PHI
2001,55-27,SAC
2001,53-29,DAL
2001,53-29,UTA
2001,52-30,MIL
2001,51-31,PHO
2001,50-32,MIA
2001,50-32,POR
2001,48-34,NYK
2001,47-35,MIN
2001,47-35,TOR
2001,46-36,CHH
2001,45-37,HOU
2001,44-38,SEA
2001,43-39,ORL
2001,41-41,IND
2001,40-42,DEN
2001,36-46,BOS
2001,32-50,DET
2001,31-51,LAC
2001,30-52,CLE
2001,26-56,NJN
2001,25-57,ATL
2001,23-59,VAN
2001,19-63,WAS
2001,17-65,GSW
2001,15-67,CHI
2002,61-21,SAC
2002,58-24,LAL
2002,58-24,SAS
